time,original,filtered,fitted
0.67,0.714619,1.03731,2.5132
0.671,1.09479,1.05284,2.51326
0.672,0.949503,1.02492,2.51333
0.673,1.18851,1.06912,2.51339
0.674,0.797455,0.995727,2.51345
0.675,1.36457,1.09537,2.51352
0.676,1.16439,1.11402,2.51358
0.677,1.27808,1.15834,2.51364
0.678,0.898563,1.08816,2.51371
0.679,1.24382,1.13021,2.51377
0.68,0.77632,1.03461,2.51384
0.681,0.827124,0.978553,2.5139
0.682,0.706697,0.90511,2.51396
0.683,1.24534,0.997024,2.51403
0.684,0.793428,0.942021,2.51409
0.685,1.29087,1.03626,2.51415
0.686,0.972554,1.01905,2.51422
0.687,1.12169,1.04678,2.51428
0.688,1.15649,1.07642,2.51435
0.689,0.768469,0.993224,2.51441
0.69,1.34057,1.08706,2.51447
0.691,0.784325,1.00527,2.51454
0.692,0.960896,0.993285,2.5146
0.693,1.12682,1.02936,2.51467
0.694,1.23375,1.08458,2.51473
0.695,0.819835,1.01306,2.51479
0.696,0.870692,0.974596,2.51486
0.697,0.887928,0.951182,2.51492
0.698,0.499477,0.829151,2.51498
0.699,0.830283,0.829457,2.51505
0.7,0.38915,0.710505,2.51511
0.701,1.25987,0.858919,2.51518
0.702,0.702238,0.816591,2.51524
0.703,0.818118,0.817003,2.5153
0.704,1.20214,0.921051,2.51537
0.705,1.15192,0.983422,2.51543
0.706,0.852744,0.948118,2.51549
0.707,1.08904,0.986189,2.51556
0.708,1.06388,1.00718,2.51562
0.709,0.714366,0.928072,2.51569
0.71,1.35815,1.04426,2.51575
0.711,0.925929,1.01229,2.51581
0.712,0.772705,0.947566,2.51588
0.713,1.38433,1.06556,2.51594
0.714,1.0891,1.07192,2.516
0.715,1.28386,1.12918,2.51607
0.716,1.00573,1.09583,2.51613
0.717,0.7548,1.0037,2.5162
0.718,1.15989,1.04589,2.51626
0.719,1.18427,1.08328,2.51632
0.72,1.17733,1.10869,2.51639
0.721,1.05717,1.09477,2.51645
0.722,0.467468,0.925299,2.51652
0.723,1.16871,0.991058,2.51658
0.724,0.838623,0.949877,2.51664
0.725,0.963882,0.95366,2.51671
0.726,1.30002,1.04723,2.51677
0.727,0.86811,0.998842,2.51683
0.728,0.736348,0.927927,2.5169
0.729,1.01539,0.951556,2.51696
0.73,1.34404,1.05759,2.51703
0.731,0.867659,1.00628,2.51709
0.732,0.96891,0.996182,2.51715
0.733,1.00496,0.998555,2.51722
